"","SampleID","BarcodeSequence","LinkerPrimerSequence","FileInput","Source","Mouse","Cage","Genotype","SamplingWeek","Description"
"1","100CHE6KO",NA,NA,"100CHE6KO_S357_L001_R1_001.fastq","BZ",100,NA,"chemerin_KO",6,"100CHE6KO"
"2","101CHE6WT",NA,NA,"101CHE6WT_S368_L001_R1_001.fastq","BZ",101,NA,"WT",6,"101CHE6WT"
"3","102CHE6WT",NA,NA,"102CHE6WT_S291_L001_R1_001.fastq","BZ",102,NA,"WT",6,"102CHE6WT"
"4","103CHE6KO",NA,NA,"103CHE6KO_S302_L001_R1_001.fastq","BZ",103,NA,"chemerin_KO",6,"103CHE6KO"
"5","104CHE6KO",NA,NA,"104CHE6KO_S313_L001_R1_001.fastq","BZ",104,NA,"chemerin_KO",6,"104CHE6KO"
"6","105CHE6WT",NA,NA,"105CHE6WT_S325_L001_R1_001.fastq","BZ",105,NA,"WT",6,"105CHE6WT"
"7","106CHE6WT",NA,NA,"106CHE6WT_S336_L001_R1_001.fastq","BZ",106,NA,"WT",6,"106CHE6WT"
"8","107CHE6KO",NA,NA,"107CHE6KO_S347_L001_R1_001.fastq","BZ",107,NA,"chemerin_KO",6,"107CHE6KO"
"9","108CHE6KO",NA,NA,"108CHE6KO_S358_L001_R1_001.fastq","BZ",108,NA,"chemerin_KO",6,"108CHE6KO"
"10","109CHE6WT",NA,NA,"109CHE6WT_S369_L001_R1_001.fastq","BZ",109,NA,"WT",6,"109CHE6WT"
"11","10CMK6KO",NA,NA,"10CMK6KO_S231_L001_R1_001.fastq","CJS",10,NA,"CMKLR1_KO",6,"10CMK6KO"
"12","110CHE6WT",NA,NA,"110CHE6WT_S292_L001_R1_001.fastq","BZ",110,NA,"WT",6,"110CHE6WT"
"13","111CHE6KO",NA,NA,"111CHE6KO_S303_L001_R1_001.fastq","BZ",111,NA,"chemerin_KO",6,"111CHE6KO"
"14","112CHE6KO",NA,NA,"112CHE6KO_S314_L001_R1_001.fastq","BZ",112,NA,"chemerin_KO",6,"112CHE6KO"
"15","113CHE6WT",NA,NA,"113CHE6WT_S326_L001_R1_001.fastq","BZ",113,NA,"WT",6,"113CHE6WT"
"16","114CHE6WT",NA,NA,"114CHE6WT_S337_L001_R1_001.fastq","BZ",114,NA,"WT",6,"114CHE6WT"
"17","115CHE6KO",NA,NA,"115CHE6KO_S348_L001_R1_001.fastq","BZ",115,NA,"chemerin_KO",6,"115CHE6KO"
"18","116CHE6KO",NA,NA,"116CHE6KO_S359_L001_R1_001.fastq","BZ",116,NA,"chemerin_KO",6,"116CHE6KO"
